ITEM,DAILY RATE ($),,,
AUTOMOTIVE,,,,
Angle Drill 1/2In,$44,,,
Angle Drill 1/4In,$33,,,
Axle Stands,$20,,,
Ch Hoist,$28,,,
Floor Jack 2 Ton,$20,,,
Grinder 4.5,$18,,,
Grinder 7,$24,,,
Impwrench 3/8,$20,,,
Impwrench1/2,$32,,,
Mag Drill,$90,,,
Porta Crane,$55,,,
Porta Power,$45,,,
Puller 2 Jaw,$16,,,
Puller 3 Jaw,$16,,,
Puller Harmonic,$16,,,
Torquewrench1/2,$25,,,
Twrench3/8,$19,,,
CARPENTERS TOOLS,,,,
Albrake,$85,,,
Angle Drill 1/4In,$33,,,
Angle Druil;L 1/2,$44,,,
Builders Level,$44,,,
Fl Lt Med,$28,,,
Fl Ltlg,$40,,,
Ins Blower,$80,,,
Jigsaw,$20,,,
Laser Level,$72,,,
Mitre Saw,$44,,,
Nail Puller,$12,,,
Panel Lift 11,$42,,,
Panel Lift 14,$44,,,
Prybar,$10,,,
Sawzall,$28,,,
Skilsaw,$24,,,
Skledge Hammer,$10,,,
Tape Measure 100Ft,$12,,,
Undercut Saw,$44,,,
COMPACTION,,,,
Compa100,$58,,,
Compa1100,$140,,,
Compa1300,$200,,,
Compa160,$58,,,
Compa200,$60,,,
Compa400,$75,,,
Compa500,$75,,,
Compapad,$11,,,
Htamper,$10,,,
Jjack,$70,,,
COMPRESSORS,,,,
Air Hose 1/4X50,$8,,,
Air Hose 3/4X50,$8,,,
Bits Per Inch Dia,$9,,,
Blowpipe,$12,,,
Chipper 15Lb,$42,,,
Compressor 25Hp Gas,$90,,,
Compressor 2Hp,$42,,,
Compressor 3Hp,$50,,,
Compressor 5Hp Gas,$60,,,
Compressor 8Hp Gas,$70,,,
Drill Steel 2Ft,$15,,,
Drill Steel 3Ft,$15,,,
Drill Steel 6Ft,$15,,,
Hood For Above,$10,,,
Jack Hammer Air,$65,,,
Line Oiler,$9,,,
Rock Drill,$65,,,
Sandblaster Ned,$48,,,
CONCRETE EQUIPMENT,,,,
Bullfloat,$24,,,
Cem Vib 1.5In,$40,,,
Cem Vib Pencil,$40,,,
Cem Vib Pencil Bat,$40,,,
Cement Mixer 3 Bag,$54,,,
Cement Mixer Towable,$100,,,
Dia Fl Grinder,$200,,,
Dia Fl Grinder Vacuum,$60,,,
Edco Floor Grinder,$200,,,
Electric Chipper Bosch,$70,,,
Electric Chipper Hitachi,$70,,,
Impact Drill,$26,,,
Jack Hammer Air,$65,,,
Jack Hammer Electric,$80,,,
Jack Hammer Gas,$140,,,
Pavestone Breaker,$35,,,
Rotary Hammer Drill Battery,$68,,,
Rotary Hammer Drill Up To 5In,$68,,,
Rotary Hammer Small Cw 1/2In Bit,$40,,,
Screed,$80,,,
Screed Bat,$80,,,
Wheel Barrow,$15,,,
FASTENING,,,,
Hardwood Stapler,$30,,,
Nailer Finishing,$25,,,
Nailer Framing,$33,,,
Nailer Roofing,$33,,,
Shingle Shovel,$14,,,
Sub Floor Screw Gun,$42,,,
Sub Floor Stapler,$27,,,
FLOORING,,,,
Air Cooler,$60,,,
Air Scrubber,$60,,,
Carpet Cleaner,$40,,,
Carpet Seam Iron,$25,,,
Carpet Stretcher,$20,,,
Ceramic Tile Cutter Lg,$26,,,
Ceramic Tile Cutter Sm,$20,,,
Ceramic Tile Saw Lg 48In,$100,,,
Ceramic Tile Saw Med 24In,$50,,,
Ceramic Tile Saw Sm,$30,,,
Dehumidifier Lg,$40,,,
Dehumidifier Xlg,$50,,,
Diamond Attachfor Above,$40,,,
Fan Barrel,$45,,,
Fan Carpet,$28,,,
Fan Drum 36In,$35,,,
Fan Drum 48In,$40,,,
Fan Pedestal,$25,,,
Fan Regular,$20,,,
Fan Ventilation 12In,$44,,,
Fan Ventilation 8In,$34,,,
Floor Drum Sander,$68,,,
Floor Edger,$48,,,
Floor Maintainer 17In,$50,,,
Floor Sander Orbitech,$56,,,
Floor Sander Orbitech With Vac,$68,,,
Laminate Floor Cutter,$17,,,
Sanding Attach For Above,$10,,,
Tile Remover Manual,$15,,,
Tile Roller 100 Lb,$25,,,
Upholstery Attachment,$7,,,
Vacuum,$40,,,
GENERATORS,,,,
Generator 1900W,$55,,,
Generator 2800W,$60,,,
Generator 3000W,$70,,,
Generator 4800W,$85,,,
Generator 7200W,$90,,,
Generator 9000W,$100,,,
Plugs 20Amp,$5,,,
Plugs 30Amp,$5,,,
Suitcase 2000W Inverter,$62,,,
Suitcase 3500W Inverter,$72,,,
HEATERS,,,,
10000 W Electric 240V,$45,,,
10000W Emergency Heater 240,$45,,,
