Category,Name,Image URL,Day ($),Week ($),Month ($),Notes
Automotive,"Angle Drill 1/4""",https://firststoprentals.com/wp-content/uploads/2021/01/angledrill.jpg,33.0,132.0,396.0,Extension cord provided.
Automotive,Auto Jack 2 Ton,https://firststoprentals.com/wp-content/uploads/2017/05/2tonfloorjack.bmp,20.0,80.0,240.0,
Automotive,Assorted Pullers,https://firststoprentals.com/wp-content/uploads/2021/01/Puller-Assorted.jpg,13.0,52.0,156.0,
Automotive,Axle Stands (Pair),https://firststoprentals.com/wp-content/uploads/2021/01/axlestands.jpg,20.0,80.0,240.0,
Automotive,Chain Hoist (1Ton),https://firststoprentals.com/wp-content/uploads/2017/05/Chain-Hoist.jpg,28.0,112.0,336.0,
Automotive,Coil Spring Compressor,https://firststoprentals.com/wp-content/uploads/2017/05/coil-sp-comp.jpg,90.0,360.0,1080.0,
Automotive,"Grinder 4.5""",https://firststoprentals.com/wp-content/uploads/2017/05/grinder-4.5in.jpg,18.0,72.0,216.0,Extension cord provided.
Automotive,"Grinder 7""",https://firststoprentals.com/wp-content/uploads/2017/05/grinder7in.jpg,24.0,96.0,288.0,Extension cord provided.
Automotive,Hydraulic Frame Repair Kit,https://firststoprentals.com/wp-content/uploads/2017/05/portahydpress.jpg,85.0,340.0,1020.0,
Automotive,Harmonic Puller,https://firststoprentals.com/wp-content/uploads/2017/05/harmonicpuller.jpg,16.0,64.0,192.0,
Automotive,Puller 2 Jaw,https://firststoprentals.com/wp-content/uploads/2017/05/puller2jaw.jpg,16.0,64.0,192.0,
Automotive,Puller 3 Jaw,https://firststoprentals.com/wp-content/uploads/2017/05/puller3jaw.jpg,16.0,64.0,192.0,
Automotive,"Impact Wrench 3/8""",https://firststoprentals.com/wp-content/uploads/2020/07/106098159_1620016738173554_713309936695896525_o.jpg,20.0,80.0,240.0,(Camera shy)
Automotive,"Impact Wrench 1/2""",https://firststoprentals.com/wp-content/uploads/2020/07/106098159_1620016738173554_713309936695896525_o.jpg,32.0,128.0,384.0,(Camera shy)
Automotive,Impact Wrench Electric,https://firststoprentals.com/wp-content/uploads/2017/05/impact-gun12.jpg,20.0,80.0,240.0,Extension cord provided.
Automotive,Magnetic Drill,https://firststoprentals.com/wp-content/uploads/2021/01/magdrill.jpg,90.0,360.0,1080.0,Extension cord provided.
Automotive,Porta Crane,https://firststoprentals.com/wp-content/uploads/2017/05/portacrane.jpg,55.0,220.0,660.0,
Automotive,"Torque Wrench 3/8""",https://firststoprentals.com/wp-content/uploads/2017/05/torquewrench38.jpg,20.0,80.0,240.0,
Automotive,"Torque Wrench 1/2""",https://firststoprentals.com/wp-content/uploads/2017/05/torquewrench12.jpg,20.0,80.0,240.0,
Carpenter Tools,Aluminum Brake,https://firststoprentals.com/wp-content/uploads/2017/05/albrake.jpg,85.0,340.0,1020.0,"Used for fascia, trim around windows, etc."
Carpenter Tools,Builders Level,https://firststoprentals.com/wp-content/uploads/2017/05/builderslevel.jpg,44.0,176.0,528.0,$44Day
Carpenter Tools,Compound Mitre Saw,https://firststoprentals.com/wp-content/uploads/2017/05/mitresaw.jpg,44.0,176.0,528.0,$44Day | Extension cord provided.
Carpenter Tools,Drywall Panel Lift 11ft.,https://firststoprentals.com/wp-content/uploads/2017/05/panlift15.jpg,42.0,168.0,504.0,
Carpenter Tools,Drywall Panel Lift 14ft.,https://firststoprentals.com/wp-content/uploads/2017/05/panlift15.jpg,42.0,168.0,504.0,
Carpenter Tools,Drywall Gun,https://firststoprentals.com/wp-content/uploads/2017/05/drywallgun.jpg,42.0,168.0,504.0,Extension cord provided.
Carpenter Tools,Flood Lights Large,https://firststoprentals.com/wp-content/uploads/2020/07/106098159_1620016738173554_713309936695896525_o.jpg,24.0,96.0,288.0,Extension cord provided. | (Camera shy)
Carpenter Tools,Flood Lights Medium,https://firststoprentals.com/wp-content/uploads/2020/07/106098159_1620016738173554_713309936695896525_o.jpg,24.0,96.0,288.0,Extension cord provided. | (Camera shy)
Carpenter Tools,Laser Level,https://firststoprentals.com/wp-content/uploads/2017/05/laserlevel.jpg,72.0,288.0,864.0,
Carpenter Tools,Laser Level for Suspended Ceiling,https://firststoprentals.com/wp-content/uploads/2020/07/106098159_1620016738173554_713309936695896525_o.jpg,72.0,288.0,864.0,(Camera shy)
Carpenter Tools,Jig Saw,https://firststoprentals.com/wp-content/uploads/2021/02/jigsaw.jpg,20.0,80.0,240.0,Extension cord provided.
Carpenter Tools,Nail Puller,https://firststoprentals.com/wp-content/uploads/2017/05/nailpuller.jpg,12.0,48.0,144.0,
Carpenter Tools,Prybar 5ft,https://firststoprentals.com/wp-content/uploads/2021/02/prybar.jpg,350.0,1400.0,4200.0,
Carpenter Tools,Right Angle Drill,https://firststoprentals.com/wp-content/uploads/2020/07/106098159_1620016738173554_713309936695896525_o.jpg,44.0,176.0,528.0,Extension cord provided. | (Camera shy)
Carpenter Tools,Sawzall,https://firststoprentals.com/wp-content/uploads/2017/05/sawzall.jpg,24.0,96.0,288.0,Extension cord provided. | (AKA Reciprocating Saw)
Carpenter Tools,Skill Saw,https://firststoprentals.com/wp-content/uploads/2020/07/106098159_1620016738173554_713309936695896525_o.jpg,24.0,96.0,288.0,Extension cord provided. | (Camera shy)
Carpenter Tools,Sledge Hammer,https://firststoprentals.com/wp-content/uploads/2017/05/slhammer.jpg,65.0,260.0,780.0,
Carpenter Tools,Undercut Saw,https://firststoprentals.com/wp-content/uploads/2020/07/106098159_1620016738173554_713309936695896525_o.jpg,44.0,176.0,528.0,Extension cord provided. | (Camera shy)
Compaction,Compactor 100lb.,https://firststoprentals.com/wp-content/uploads/2017/05/compa160.jpg,58.0,232.0,696.0,"For 1-2"" fill"
Compaction,Compactor 160lb.,https://firststoprentals.com/wp-content/uploads/2017/05/compa100.jpg,58.0,232.0,696.0,"For 2-3"" fill"
Compaction,Compactor 200lb.,https://firststoprentals.com/wp-content/uploads/2017/05/compa200.jpg,60.0,240.0,720.0,"For 3-4"" fill"
Compaction,Compactor 400lb.,https://firststoprentals.com/wp-content/uploads/2020/07/106098159_1620016738173554_713309936695896525_o.jpg,75.0,300.0,900.0,"For 6-8"" fill | (Camera shy)"
Compaction,Compactor 1300lb.,https://firststoprentals.com/wp-content/uploads/2017/05/compa1300.jpg,200.0,800.0,2400.0,"For 12-24"" fill"
Compaction,Compactor 1000lb.,https://firststoprentals.com/wp-content/uploads/2020/07/106098159_1620016738173554_713309936695896525_o.jpg,58.0,232.0,696.0,"$1896 | For 12-18"" fill | (Camera shy)"
Compaction,Compactor 1100lb.,https://firststoprentals.com/wp-content/uploads/2020/07/106098159_1620016738173554_713309936695896525_o.jpg,140.0,560.0,1680.0,"For 12-18"" fill | (Camera shy)"
Compaction,Hand Tamper,https://firststoprentals.com/wp-content/uploads/2017/05/htamper.jpg,10.0,40.0,120.0,
Compaction,Jumping Jack,https://firststoprentals.com/wp-content/uploads/2017/05/jjackw.gif,20.0,80.0,240.0,"For 6"" fill"
Compressors,"Air Hose 3/4"" x 50 ft.",https://firststoprentals.com/wp-content/uploads/2017/05/airhose.25.bmp,8.0,32.0,96.0,
Compressors,Blow Pipe,https://firststoprentals.com/wp-content/uploads/2020/07/106098159_1620016738173554_713309936695896525_o.jpg,12.0,48.0,144.0,(Camera shy)
Compressors,Chipper Air 30 lb.,https://firststoprentals.com/wp-content/uploads/2020/07/106098159_1620016738173554_713309936695896525_o.jpg,60.0,240.0,720.0,(Camera shy)
Compressors,Compressor 2 hp,https://firststoprentals.com/wp-content/uploads/2017/05/compr2hp.jpg,90.0,360.0,1080.0,
Compressors,Compressor 3 hp,https://firststoprentals.com/wp-content/uploads/2017/05/compr3hp.jpg,50.0,200.0,600.0,Vertical Compressor
Compressors,Compressor 5 hp Gas,https://firststoprentals.com/wp-content/uploads/2017/05/compr5hpg.jpg,90.0,360.0,1080.0,
Compressors,Compressor 25 hp Gas,https://firststoprentals.com/wp-content/uploads/2017/05/compr20hp.jpg,90.0,360.0,1080.0,
Compressors,Jack Hammer - For 25hp Compressor,https://firststoprentals.com/wp-content/uploads/2017/05/jhama.jpg,90.0,360.0,1080.0,
Compressors,Drill Steel,https://firststoprentals.com/wp-content/uploads/2020/07/106098159_1620016738173554_713309936695896525_o.jpg,15.0,60.0,180.0,Different sizes available. | (Camera shy)
Compressors,Bits (per inch),https://firststoprentals.com/wp-content/uploads/2020/07/106098159_1620016738173554_713309936695896525_o.jpg,9.0,36.0,108.0,(Camera shy)
Compressors,Line Oiler,https://firststoprentals.com/wp-content/uploads/2020/07/106098159_1620016738173554_713309936695896525_o.jpg,9.0,36.0,108.0,(Camera shy)
Compressors,Rock Drill,https://firststoprentals.com/wp-content/uploads/2017/05/rockdrill.jpg,65.0,260.0,780.0,
Compressors,Sandblaster,https://firststoprentals.com/wp-content/uploads/2017/05/sblastlg.bmp,48.0,192.0,576.0,
Compressors,Hood for Sandblaster,https://firststoprentals.com/wp-content/uploads/2020/07/106098159_1620016738173554_713309936695896525_o.jpg,10.0,40.0,120.0,(Camera shy)
Concrete Equipment,Bull Float,https://firststoprentals.com/wp-content/uploads/2017/05/bullfloat.jpg,24.0,96.0,288.0,
Concrete Equipment,Cement Screed,https://firststoprentals.com/wp-content/uploads/2017/05/screed.jpg,54.0,216.0,648.0,Gas Powered
Concrete Equipment,Cement Mixer,https://firststoprentals.com/wp-content/uploads/2017/05/cemmix3.jpg,54.0,216.0,648.0,Electric | 3 cu. ft. | Extension cord provided.
Concrete Equipment,Towable Cement Mixer,https://firststoprentals.com/wp-content/uploads/2026/01/Screen-Shot-2026-01-09-at-3.17.01-PM.png,100.0,400.0,1200.0,Electric | 6 cu. ft. | Extension cord provided.
Concrete Equipment,"Cement Vibrator Pencil 1""",https://firststoprentals.com/wp-content/uploads/2017/05/cemvib1.jpg,40.0,160.0,480.0,Extension cord provided.
Concrete Equipment,"Cement Vibrator 1.5""",https://firststoprentals.com/wp-content/uploads/2017/05/cemvib1.5.jpg,40.0,160.0,480.0,Extension cord provided.
